Categories,amount,Savings,Currency,Category,Item,Amount (INR),Date
Vegetable Farming,10000,1000,INR,Tec,Mortgage/Rent,1500,31-01-2024
Fruit Orchards.,20000,1000,INR,Utilities,Electricity,800,03-02-2024
Duck Farming,120000,1000,INR,Utilities,Internet,600,06-02-2024
Worm Farming,20000,1000,INR,Housing,Property Taxes,3000,01-02-2024
Herb Gardens,100000,25000,INR,Utilities,Water,500,04-02-2024
Compost Sales,100000,25000,INR,Maintenance,Repairs/Maintenance,500,07-02-2024
Mushroom Cultivation,50000,10000,INR,Housing,Home Insurance,1000,02-02-2024
Online Farm Shop,30000,10000,INR,Utilities,Gas,300,05-02-2024
Flower Farming,200000,20000,INR,Maintenance,Lawn Care,200,08-02-2024
Honey Bee Farming,100000,20000,INR,Dining Out,Restaurants,1000,10-02-2024
Beekeeping,100000,20000,INR,Transportation,Maintenance,300,12-02-2024
Vertical Farming,100000,20000,INR,Entertainment,Movies/Concerts,500,14-02-2024
Hydroponics,1000000,20000,INR,Personal Care,Haircuts,200,16-02-2024
Farm-to-Table Cooking Classes,100000,20000,INR,Home Improvement,Furniture,1000,18-02-2024
Microgreens Production,100000,24000,INR,Savings,Long-term Savings,500,20-02-2024
Goat Farming,10000,2000,INR,Special Occasions,Holidays,1000,22-02-2024
Small-Scale Livestock Farming,10000,2000,INR,Debt Payments,Loan Payments,1500,24-02-2024
Organic Farming,10000,2000,INR,Dining Out,Takeout,500,26-02-2024
Seed Saving,10000,2000,INR,Entertainment,Subscriptions,150,28-02-2024
Farm Tours,10000,2000,INR,Home Improvement,Appliance Purchase,800,01-03-2024
Farm-to-Table Catering,10000,2000,INR,Special Occasions,Anniversary,500,03-03-2024
Farmers' Market Stall,12000,2000,INR,Utilities,Cable TV,400,05-03-2024
Aquaponics,300000,100000,INR,Groceries,Specialty Foods,400,07-03-2024
Poultry Egg Incubation,10000,1300,INR,Transportation,Parking,150,09-03-2024
Agricultural Workshops,30000,12000,INR,Personal Care,Health Insurance,1500,11-03-2024
Natural Soap Making,12000,3000,INR,Savings,Retirement Savings,200,13-03-2024
Farmstay Accommodations,1000,300,INR,Miscellaneous,Miscellaneous,50,15-03-2024
,,,INR,Housing,Property Taxes,300,17-03-2024
CSA (Community Supported Agriculture),15000,4000,INR,Utilities,Electricity,80,19-03-2024
,,100,,Utilities,Gas,30,21-03-2024
,,100,,Maintenance,Repairs/Maintenance,5000,23-03-2024
,,100,,Groceries,Weekly Groceries,500,25-03-2024
,,200,,Transportation,Gas,5000,27-03-2024
,,200,,Entertainment,Streaming Services,20,29-03-2024
,,200,,Personal Care,Toiletries,30,31-03-2024
,,20,,Home Improvement,Renovations,200,02-04-2024
,,20,,Savings,Emergency Fund,100,04-04-2024
,,20,,Special Occasions,Birthdays,30,06-04-2024
,,20,,Debt Payments,Credit Card Payment,75,08-04-2024
,,20,,Groceries,Monthly Groceries,200,10-04-2024
,,20,,Transportation,Public Transportation,20,12-04-2024
,,20,,Personal Care,Grooming,40,14-04-2024
,,20,,Savings,Investment,75,16-04-2024
,,20,,Debt Payments,Student Loan Payment,100,18-04-2024
,,20,,Maintenance,Pest Control,25,20-04-2024
,,20,,Dining Out,Coffee Shops,20,22-04-2024
,,20,,Entertainment,Sports Events,60,24-04-2024
,,20,,Home Improvement,Gardening Supplies,25,26-04-2024
,,20,,Debt Payments,Car Loan Payment,120,28-04-2024
,,20,,Agriculture,Seeds and Fertilizers,75,30-04-2024
,,20,,Agriculture,Irrigation System,30,02-05-2024
,,20,,Agriculture,Pest Control,35,04-05-2024
,,20,,Agriculture,Land Lease,200,06-05-2024
,,20,,Agriculture,Training and Workshops,80,08-05-2024
,,20,,Education,Tuition Fees,500,10-05-2024
,,20,,Education,Equipment,200,12-05-2024
,,20,,Education,Extracurricular Activities,30,14-05-2024
,,20,,Education,School Trips,25,16-05-2024
,,20,,Education,Exam Fees,20,18-05-2024
,,20,,Education,Education Savings,150,20-05-2024
,,20,,Housing,Property Taxes,300,22-05-2024
,,20,,Utilities,Electricity,80,24-05-2024
,,20,,Utilities,Gas,30,26-05-2024
,,20,,Maintenance,Maintenance,500,28-05-2024
,,20,,Groceries,Weekly Groceries,300,30-05-2024
,,20,,Transportation,Gas,5000,01-06-2024
,,20,,Entertainment,Streaming Services,20,03-06-2024
,,20,,Personal Care,Toiletries,30,05-06-2024
,,20,,Home Improvement,Renovations,200,07-06-2024
,,20,,Savings,Emergency Fund,100,09-06-2024
,,20,,Special Occasions,Birthdays,30,11-06-2024
,,20,,Debt Payments,Credit Card Payment,75,13-06-2024
,,20,,Groceries,Monthly Groceries,200,15-06-2024
,,20,,Transportation,Public Transportation,20,17-06-2024
,,20,,Personal Care,Grooming,40,19-06-2024
,,20,,Savings,Investment,75,21-06-2024
,,20,,Debt Payments,Student Loan Payment,100,23-06-2024
,,20,,Maintenance,Pest Control,25,25-06-2024
,,20,,Home Improvement,Gardening Supplies,25,01-07-2024
,,20,,Agriculture,Equipment Maintenance,40,06-07-2024
,,20,,Housing,Home Insurance,100,11-07-2024
,,20,,Maintenance,Maintenance,50,16-07-2024
,,20,,Transportation,Maintenance,30,21-07-2024
,,20,,Home Improvement,Renovations,200,26-07-2024
,,20,,Special Occasions,Holidays,100,31-07-2024
,,20,,Personal Care,Grooming,40,07-08-2024
,,20,,Groceries,Specialty Foods,40,14-08-2024
,,20,,Debt Payments,Car Loan Payment,120,21-08-2024
,,20,,Agriculture,Soil Testing,20,28-08-2024
,,20,,Education,Technology,20000,04-09-2024
,,20,,Education,Tutoring Services,50,11-09-2024
,,20,,Healthcare,Eye Care,250,18-09-2024
,,20,,Personal Development,Books and Reading Materials,300,25-09-2024
,,20,,Personal Development,Language Courses,300,02-10-2024
,,20,,Groceries,Weekly Groceries,3000,09-02-2024
,,20,,Entertainment,Streaming Services,200,13-02-2024
,,20,,Home Improvement,Renovations,2000,17-02-2024
,,20,,Special Occasions,Birthdays,3000,21-02-2024
,,20,,Groceries,Monthly Groceries,2000,25-02-2024
,,20,,Personal Care,Grooming,400,29-02-2024
,,20,,Debt Payments,Student Loan Payment,1000,04-03-2024
,,20,,Dining Out,Coffee Shops,200,08-03-2024
,,20,,Home Improvement,Gardening Supplies,25,12-03-2024
,,20,,Housing,Mortgage/Rent,1500,16-03-2024
,,20,,Utilities,Water,50,20-03-2024
,,20,,Maintenance,Lawn Care,20,24-03-2024
,,20,,Transportation,Maintenance,30,28-03-2024
,,20,,Personal Care,Haircuts,20,01-04-2024
,,20,,Savings,Long-term Savings,50,05-04-2024
,,20,,Debt Payments,Loan Payments,150,09-04-2024
,,20,,Entertainment,Subscriptions,15,13-04-2024
,,20,,Special Occasions,Anniversary,50,17-04-2024
,,20,,Groceries,Specialty Foods,40,21-04-2024
,,20,,Personal Care,Health Insurance,150,25-04-2024
,,20,,Miscellaneous,Miscellaneous,50,29-04-2024
,,20,,Agriculture,Harvesting Tools,25,03-05-2024
,,20,,Agriculture,Insurance for Crops,50,07-05-2024
,,20,,Education,Books and Supplies,100,11-05-2024
,,20,,Education,Uniforms,40,15-05-2024
,,20,,Education,Tutoring Services,50,19-05-2024
,,20,,Housing,Home Insurance,100,23-05-2024
,,20,,Utilities,Internet,60,27-05-2024
,,20,,Dining Out,Restaurants,100,31-05-2024
,,30,,Entertainment,Movies/Concerts,50,04-06-2024
,,30,,Home Improvement,Furniture,100,08-06-2024
,,30,,Special Occasions,Holidays,100,12-06-2024
,,30,,Dining Out,Takeout,50,16-06-2024
,,30,,Home Improvement,Appliance Purchase,80,20-06-2024
,,30,,Utilities,Cable TV,40,24-06-2024
,,30,,Personal Care,Health Insurance,150,30-06-2024
,,30,,Agriculture,Seeds and Fertilizers,75,05-07-2024
,,30,,Housing,Property Taxes,300,10-07-2024
,,30,,Utilities,Internet,60,15-07-2024
,,30,,Transportation,Gas,50,20-07-2024
,,30,,Personal Care,Haircuts,20,25-07-2024
,,30,,Special Occasions,Birthdays,30,30-07-2024
,,30,,Entertainment,Subscriptions,15,06-08-2024
,,30,,Maintenance,Pest Control,25,13-08-2024
,,30,,Savings,Retirement Savings,200,20-08-2024
,,30,,Agriculture,Pest Control,35,27-08-2024
,,30,,Education,Books and Supplies,100,03-09-2024
,,30,,Education,Exam Fees,20,10-09-2024
,,30,,Healthcare,Vitamins and Supplements,30,17-09-2024
,,30,,Personal Development,Workshops and Seminars,50,24-09-2024
,,30,,Personal Development,Skill-building Tools/Software,500,01-10-2024
,,30,,Transportation,Gas,500,11-02-2024
,,30,,Personal Care,Toiletries,300,15-02-2024
,,30,,Savings,Emergency Fund,1000,19-02-2024
,,30,,Debt Payments,Credit Card Payment,750,23-02-2024
,,30,,Transportation,Public Transportation,200,27-02-2024
,,30,,Savings,Investment,750,02-03-2024
,,30,,Maintenance,Pest Control,2500,06-03-2024
,,30,,Entertainment,Sports Events,600,10-03-2024
,,30,,Debt Payments,Car Loan Payment,120,14-03-2024
,,30,,Housing,Home Insurance,100,18-03-2024
,,30,,Utilities,Internet,60,22-03-2024
,,30,,Dining Out,Restaurants,100,26-03-2024
,,30,,Entertainment,Movies/Concerts,50,30-03-2024
,,30,,Home Improvement,Furniture,100,03-04-2024
,,30,,Special Occasions,Holidays,100,07-04-2024
,,30,,Dining Out,Takeout,50,11-04-2024
,,30,,Home Improvement,Appliance Purchase,80,15-04-2024
,,30,,Utilities,Cable TV,40,19-04-2024
,,30,,Transportation,Parking,15,23-04-2024
,,30,,Savings,Retirement Savings,200,27-04-2024
,,30,,Agriculture,Equipment Maintenance,40,01-05-2024
,,30,,Agriculture,Soil Testing,20,05-05-2024
,,30,,Agriculture,Storage Facilities,30,09-05-2024
,,30,,Education,Transportation,5000,13-05-2024
,,30,,Education,Lunch/Snacks,30,17-05-2024
,,30,,Housing,Mortgage/Rent,1500,21-05-2024
,,30,,Utilities,Water,50,25-05-2024
,,30,,Maintenance,Lawn Care,20,29-05-2024
,,30,,Transportation,Maintenance,30,02-06-2024
,,50,,Personal Care,Haircuts,20,06-06-2024
,,50,,Savings,Long-term Savings,50,10-06-2024
,,50,,Debt Payments,Loan Payments,150,14-06-2024
,,50,,Entertainment,Subscriptions,15,18-06-2024
,,50,,Special Occasions,Anniversary,50,22-06-2024
,,50,,Groceries,Specialty Foods,40,26-06-2024
