Category,Item,Amount (INR),Date,Savings
Housing,Mortgage/Rent,1500,31-01-2024,100
Housing,Property Taxes,3000,01-02-2024,200
Housing,Home Insurance,1000,02-02-2024,20
Utilities,Electricity,800,03-02-2024,100
Utilities,Water,500,04-02-2024,200
Utilities,Gas,300,05-02-2024,20
Utilities,Internet,600,06-02-2024,100
Maintenance,Repairs/Maintenance,500,07-02-2024,200
Maintenance,Lawn Care,200,08-02-2024,20
Groceries,Weekly Groceries,3000,09-02-2024,30
Dining Out,Restaurants,1000,10-02-2024,20
Transportation,Gas,500,11-02-2024,50
Transportation,Maintenance,300,12-02-2024,20
Entertainment,Streaming Services,200,13-02-2024,30
Entertainment,Movies/Concerts,500,14-02-2024,20
Personal Care,Toiletries,300,15-02-2024,50
Personal Care,Haircuts,200,16-02-2024,20
Home Improvement,Renovations,2000,17-02-2024,30
Home Improvement,Furniture,1000,18-02-2024,20
Savings,Emergency Fund,1000,19-02-2024,50
Savings,Long-term Savings,500,20-02-2024,20
Special Occasions,Birthdays,3000,21-02-2024,30
Special Occasions,Holidays,1000,22-02-2024,20
Debt Payments,Credit Card Payment,750,23-02-2024,50
Debt Payments,Loan Payments,1500,24-02-2024,20
Groceries,Monthly Groceries,2000,25-02-2024,30
Dining Out,Takeout,500,26-02-2024,20
Transportation,Public Transportation,200,27-02-2024,50
Entertainment,Subscriptions,150,28-02-2024,20
Personal Care,Grooming,400,29-02-2024,30
Home Improvement,Appliance Purchase,800,01-03-2024,20
Savings,Investment,750,02-03-2024,50
Special Occasions,Anniversary,500,03-03-2024,20
Debt Payments,Student Loan Payment,1000,04-03-2024,30
Utilities,Cable TV,400,05-03-2024,20
Maintenance,Pest Control,2500,06-03-2024,50
Groceries,Specialty Foods,400,07-03-2024,20
Dining Out,Coffee Shops,200,08-03-2024,30
Transportation,Parking,150,09-03-2024,20
Entertainment,Sports Events,600,10-03-2024,50
Personal Care,Health Insurance,1500,11-03-2024,20
Home Improvement,Gardening Supplies,25,12-03-2024,30
Savings,Retirement Savings,200,13-03-2024,20
Debt Payments,Car Loan Payment,120,14-03-2024,50
